FL_DATE,AIRLINE,DEST_CITY,DEP_TIME,TAXI_OUT,TAXI_IN,ARR_TIME,ARR_DELAY,CANCELLATION_CODE,ELAPSED_TIME,AIR_TIME,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_LATE_AIRCRAFT
6/3/2023,Delta Air Lines Inc.,"San Francisco, CA",1608,27,9,1853,24,,285,249,0,8,215
23-02-2020,Spirit Air Lines,"Dallas/Fort Worth, TX",1838,15,14,2040,-1,,182,153,,,
31-07-2019,Southwest Airlines Co.,"Oklahoma City, OK",1237,15,3,1331,141,,54,36,141,0,0
11/6/2023,American Airlines Inc.,"Boston, MA",1001,23,8,1130,-29,,89,58,,,
8/7/2019,Republic Airline,"Washington, DC",1637,22,41,2008,23,,151,88,57,0,0
11/6/2021,Delta Air Lines Inc.,"Hartford, CT",1959,14,4,2212,60,,133,115,60,0,0
31-07-2020,American Airlines Inc.,"Dallas/Fort Worth, TX",1201,14,11,1357,-1,,176,151,,,
5/8/2021,Southwest Airlines Co.,"Nashville, TN",826,10,6,941,1,,75,59,,,
20-11-2019,Delta Air Lines Inc.,"Atlanta, GA",555,15,6,808,-32,,133,112,,,
7/4/2020,Southwest Airlines Co.,"Los Angeles, CA",,,,,,D,,,,,
1/5/2022,Southwest Airlines Co.,"Hartford, CT",1738,12,3,1846,6,,68,53,,,
1/7/2020,Delta Air Lines Inc.,"Atlanta, GA",1613,15,3,1948,-9,,215,197,,,
25-12-2021,Southwest Airlines Co.,"New Orleans, LA",1428,9,3,1536,-24,,68,56,,,
24-03-2019,Spirit Air Lines,"Houston, TX",1526,14,15,1845,-13,,139,110,,,
17-03-2019,United Air Lines Inc.,"Chicago, IL",1611,31,12,1850,35,,219,176,0,0,0
5/5/2022,JetBlue Airways,"Charleston, SC",800,17,3,946,-26,,106,86,,,
27-01-2019,Spirit Air Lines,"Atlantic City, NJ",1443,28,5,1711,11,,148,115,,,
12/11/2022,Delta Air Lines Inc.,"Minneapolis, MN",720,10,5,736,-30,,76,61,,,
6/9/2022,American Airlines Inc.,"Pensacola, FL",830,19,4,1020,6,,110,87,,,
25-05-2021,PSA Airlines Inc.,"Raleigh/Durham, NC",906,30,4,1009,-20,,63,29,,,
23-04-2019,United Air Lines Inc.,"Washington, DC",1329,23,3,1615,-5,,106,80,,,
4/7/2021,Allegiant Air,"Spokane, WA",639,28,4,858,25,,139,107,0,0,0
3/4/2019,ExpressJet Airlines LLC d/b/a aha!,"Houston, TX",852,10,14,1028,-17,,96,72,,,
6/3/2022,JetBlue Airways,"Newark, NJ",2030,14,11,2320,-8,,170,145,,,
15-04-2023,Republic Airline,"Newark, NJ",714,55,33,1207,1124,,233,145,0,0,0
3/1/2023,Allegiant Air,"Sanford, FL",1531,12,18,1711,2,,100,70,,,
31-01-2019,American Airlines Inc.,"Reno, NV",1135,16,6,1247,-31,,192,170,,,
8/6/2021,American Airlines Inc.,"Albuquerque, NM",1316,14,8,1505,-11,,169,147,,,
21-06-2019,American Airlines Inc.,"Dallas/Fort Worth, TX",558,10,14,929,-11,,151,127,,,
28-12-2021,SkyWest Airlines Inc.,"Boise, ID",1835,16,3,2124,14,,229,210,,,
25-12-2019,Southwest Airlines Co.,"Kansas City, MO",1711,8,6,1841,-14,,90,76,,,
23-07-2023,United Air Lines Inc.,"Houston, TX",521,18,9,615,-2,,54,27,,,
18-07-2019,Southwest Airlines Co.,"Tampa, FL",2254,6,3,47,57,,113,104,57,0,0
2/11/2019,American Airlines Inc.,"Chicago, IL",1859,13,12,2110,-9,,131,106,,,
1/6/2021,SkyWest Airlines Inc.,"Billings, MT",1859,15,4,2052,-6,,173,154,,,
28-05-2022,Republic Airline,"Newark, NJ",555,18,6,706,-31,,71,47,,,
8/10/2022,American Airlines Inc.,"Tucson, AZ",820,18,5,837,-13,,137,114,,,
28-10-2020,Endeavor Air Inc.,"Detroit, MI",1740,11,14,1921,-11,,101,76,,,
1/1/2019,Delta Air Lines Inc.,"Daytona Beach, FL",935,12,3,1044,-11,,69,54,,,
28-12-2020,SkyWest Airlines Inc.,"Boise, ID",1823,17,3,2111,6,,108,88,,,
2/1/2022,Republic Airline,"Washington, DC",,,,,,B,,,,,
17-05-2022,Southwest Airlines Co.,"Manchester, NH",750,13,5,907,-8,,77,59,,,
4/3/2020,United Air Lines Inc.,"Denver, CO",1251,20,9,1621,-8,,150,121,,,
20-12-2021,SkyWest Airlines Inc.,"Denver, CO",608,11,10,749,-10,,101,80,,,
3/7/2023,JetBlue Airways,"New York, NY",1350,15,6,1455,-26,,65,44,,,
6/1/2020,Delta Air Lines Inc.,"Atlanta, GA",1035,15,4,1728,-12,,233,214,,,
26-02-2021,United Air Lines Inc.,"Denver, CO",526,11,7,839,-8,,133,115,,,
8/4/2023,Southwest Airlines Co.,"San Antonio, TX",2133,7,3,5,-10,,152,142,,,
12/6/2021,Delta Air Lines Inc.,"Atlanta, GA",1332,10,6,1528,-3,,116,100,,,
16-04-2019,Envoy Air,"Chicago, IL",1409,13,15,1410,-10,,61,33,,,
16-01-2023,SkyWest Airlines Inc.,"Salt Lake City, UT",1725,23,7,1909,2,,104,74,,,
7/1/2019,Southwest Airlines Co.,"Dallas, TX",1401,6,3,1455,0,,54,45,,,
25-05-2019,Republic Airline,"Newark, NJ",1416,11,9,1809,29,,173,153,0,0,16
20-11-2021,Alaska Airlines Inc.,"Los Angeles, CA",931,11,9,1156,-24,,145,125,,,
19-02-2021,Spirit Air Lines,"Orlando, FL",740,19,10,1011,6,,151,122,,,
7/8/2020,PSA Airlines Inc.,"Charlotte, NC",619,19,14,811,-2,,112,79,,,
7/1/2020,Alaska Airlines Inc.,"Seattle, WA",1924,12,6,2207,-8,,283,265,,,
27-02-2019,Southwest Airlines Co.,"Manchester, NH",2203,15,4,56,31,,113,94,31,0,0
27-11-2019,Frontier Airlines Inc.,"Tampa, FL",1856,14,8,2057,-13,,181,159,,,
11/2/2019,Southwest Airlines Co.,"San Diego, CA",1226,19,16,1404,74,,98,63,71,0,0
26-02-2020,JetBlue Airways,"Fort Myers, FL",1538,24,7,1949,29,,251,220,0,0,0
14-07-2022,Republic Airline,"Charleston, SC",1343,20,5,1528,-1,,105,80,,,
4/8/2019,Mesa Airlines Inc.,"El Paso, TX",1226,22,2,1441,-7,,75,51,,,
5/3/2019,American Airlines Inc.,"San Diego, CA",1315,12,5,1538,-7,,263,246,,,
6/4/2023,JetBlue Airways,"New York, NY",1007,48,9,1318,14,,191,134,,,
3/7/2020,Delta Air Lines Inc.,"Minneapolis, MN",1346,21,4,1711,1,,145,120,,,
13-05-2019,Delta Air Lines Inc.,"New York, NY",600,11,19,716,-4,,76,46,,,
4/4/2019,Republic Airline,"Philadelphia, PA",557,14,5,727,-8,,90,71,,,
2/4/2021,Frontier Airlines Inc.,"Denver, CO",1310,12,12,1351,-27,,161,137,,,
29-03-2019,United Air Lines Inc.,"San Antonio, TX",1955,17,3,2051,-12,,56,36,,,
12/9/2019,Endeavor Air Inc.,"Portland, ME",1745,24,3,1900,-18,,75,48,,,
26-06-2021,Alaska Airlines Inc.,"Chicago, IL",1055,16,7,1659,17,,244,221,0,0,17
30-05-2022,American Airlines Inc.,"Dallas/Fort Worth, TX",1426,13,12,1533,-21,,67,42,,,
11/11/2022,American Airlines Inc.,"San Diego, CA",1848,21,3,2123,0,,335,311,,,
17-03-2020,Envoy Air,"Dallas/Fort Worth, TX",1658,32,20,1830,85,,92,40,0,0,52
20-04-2020,Southwest Airlines Co.,"Atlanta, GA",,,,,,D,,,,,
31-07-2022,Envoy Air,"San Luis Obispo, CA",1918,17,5,2034,1,,196,174,,,
25-02-2020,Republic Airline,"New York, NY",1051,16,13,1235,-15,,104,75,,,
20-02-2019,American Airlines Inc.,"Kona, HI",827,18,5,1201,-27,,334,311,,,
16-08-2020,Delta Air Lines Inc.,"Atlanta, GA",1046,10,4,1206,-14,,80,66,,,
25-02-2021,American Airlines Inc.,"Denver, CO",2004,24,8,2157,-14,,113,81,,,
25-10-2021,PSA Airlines Inc.,"Greer, SC",926,41,3,1027,-2,,61,17,,,
1/2/2023,Southwest Airlines Co.,"Las Vegas, NV",1444,10,8,1525,10,,101,83,,,
21-03-2023,Endeavor Air Inc.,"Valdosta, GA",1529,15,5,1627,-11,,58,38,,,
8/4/2019,American Airlines Inc.,"Miami, FL",606,14,4,700,-17,,54,36,,,
27-03-2021,Envoy Air,"Dallas/Fort Worth, TX",1740,8,9,1904,-23,,84,67,,,
2/12/2021,Delta Air Lines Inc.,"Kansas City, MO",2100,13,5,15,-14,,135,117,,,
13-01-2019,United Air Lines Inc.,"Minneapolis, MN",1941,24,4,2105,-4,,84,56,,,
15-03-2019,Southwest Airlines Co.,"Las Vegas, NV",1129,7,9,1323,-7,,234,218,,,
14-04-2022,SkyWest Airlines Inc.,"Milwaukee, WI",1941,29,5,2059,9,,78,44,,,
